<X> <Y>
1.000000000000000e-03 2.525243444823697e+11
1.006938631476027e-03 2.525224298587205e+11
1.013925407558815e-03 2.525204885867123e+11
1.020960662306047e-03 2.525185202956361e+11
1.028044732093310e-03 2.525165246096310e+11
1.035177955630176e-03 2.525145011476131e+11
1.042360673976401e-03 2.525124495232030e+11
1.049593230558228e-03 2.525103693446526e+11
1.056875971184804e-03 2.525082602147702e+11
1.064209244064725e-03 2.525061217308453e+11
1.071593399822671e-03 2.525039534845722e+11
1.079028791516184e-03 2.525017550619723e+11
1.086515774652538e-03 2.524995260433153e+11
1.094054707205742e-03 2.524972660030398e+11
1.101645949633657e-03 2.524949745096722e+11
1.109289864895223e-03 2.524926511257452e+11
1.116986818467823e-03 2.524902954077141e+11
1.124737178364752e-03 2.524879069058730e+11
1.132541315152812e-03 2.524854851642696e+11
1.140399601970033e-03 2.524830297206179e+11
1.148312414543511e-03 2.524805401062115e+11
1.156280131207375e-03 2.524780158458339e+11
1.164303132920877e-03 2.524754564576684e+11
1.172381803286599e-03 2.524728614532070e+11
1.180516528568806e-03 2.524702303371576e+11
1.188707697711903e-03 2.524675626073497e+11
1.196955702359043e-03 2.524648577546398e+11
1.205260936870843e-03 2.524621152628143e+11
1.213623798344241e-03 2.524593346084919e+11
1.222044686631489e-03 2.524565152610240e+11
1.230524004359262e-03 2.524536566823948e+11
1.239062156947916e-03 2.524507583271185e+11
1.247659552630870e-03 2.524478196421365e+11
1.256316602474120e-03 2.524448400667123e+11
1.265033720395904e-03 2.524418190323254e+11
1.273811323186479e-03 2.524387559625634e+11
1.282649830528060e-03 2.524356502730132e+11
1.291549665014884e-03 2.524325013711497e+11
1.300511252173409e-03 2.524293086562240e+11
1.309535020482668e-03 2.524260715191497e+11
1.318621401394748e-03 2.524227893423875e+11
1.327770829355429e-03 2.524194614998280e+11
1.336983741824947e-03 2.524160873566734e+11
1.346260579298910e-03 2.524126662693178e+11
1.355601785329369e-03 2.524091975852246e+11
1.365007806546014e-03 2.524056806428037e+11
1.374479092677537e-03 2.524021147712859e+11
1.384016096573132e-03 2.523984992905963e+11
1.393619274224142e-03 2.523948335112259e+11
1.403289084785873e-03 2.523911167341006e+11
1.413025990599534e-03 2.523873482504496e+11
1.422830457214352e-03 2.523835273416711e+11
1.432702953409831e-03 2.523796532791968e+11
1.442643951218157e-03 2.523757253243539e+11
