<X> <Y>
1.000000000000000e-03 1.009644934256325e+12
1.006938631476027e-03 1.009630979997256e+12
1.013925407558815e-03 1.009616831605381e+12
1.020960662306047e-03 1.009602486382528e+12
1.028044732093310e-03 1.009587941593111e+12
1.035177955630176e-03 1.009573194463592e+12
1.042360673976401e-03 1.009558242181964e+12
1.049593230558228e-03 1.009543081897216e+12
1.056875971184804e-03 1.009527710718815e+12
1.064209244064725e-03 1.009512125716122e+12
1.071593399822671e-03 1.009496323917881e+12
1.079028791516184e-03 1.009480302311625e+12
1.086515774652538e-03 1.009464057843121e+12
1.094054707205742e-03 1.009447587415791e+12
1.101645949633657e-03 1.009430887890133e+12
1.109289864895223e-03 1.009413956083120e+12
1.116986818467823e-03 1.009396788767608e+12
1.124737178364752e-03 1.009379382671714e+12
1.132541315152812e-03 1.009361734478222e+12
1.140399601970033e-03 1.009343840823926e+12
1.148312414543511e-03 1.009325698299031e+12
1.156280131207375e-03 1.009307303446472e+12
1.164303132920877e-03 1.009288652761309e+12
1.172381803286599e-03 1.009269742690026e+12
1.180516528568806e-03 1.009250569629869e+12
1.188707697711903e-03 1.009231129928187e+12
1.196955702359043e-03 1.009211419881738e+12
1.205260936870843e-03 1.009191435735970e+12
1.213623798344241e-03 1.009171173684344e+12
1.222044686631489e-03 1.009150629867595e+12
1.230524004359262e-03 1.009129800373029e+12
1.239062156947916e-03 1.009108681233760e+12
1.247659552630870e-03 1.009087268427984e+12
1.256316602474120e-03 1.009065557878217e+12
1.265033720395904e-03 1.009043545450536e+12
1.273811323186479e-03 1.009021226953778e+12
1.282649830528060e-03 1.008998598138790e+12
1.291549665014884e-03 1.008975654697597e+12
1.300511252173409e-03 1.008952392262609e+12
1.309535020482668e-03 1.008928806405809e+12
1.318621401394748e-03 1.008904892637903e+12
1.327770829355429e-03 1.008880646407493e+12
1.336983741824947e-03 1.008856063100214e+12
1.346260579298910e-03 1.008831138037878e+12
1.355601785329369e-03 1.008805866477589e+12
1.365007806546014e-03 1.008780243610859e+12
1.374479092677537e-03 1.008754264562702e+12
1.384016096573132e-03 1.008727924390732e+12
1.393619274224142e-03 1.008701218084224e+12
1.403289084785873e-03 1.008674140563187e+12
1.413025990599534e-03 1.008646686677407e+12
1.422830457214352e-03 1.008618851205487e+12
1.432702953409831e-03 1.008590628853869e+12
1.442643951218157e-03 1.008562014255849e+12
1.452653925946781e-03 1.008533001970569e+12
1.462733356201130e-03 1.008503586481997e+12
