<X> <Y>
1.000000000000000e-03 2.522995681156252e+11
1.006938631476027e-03 2.522945260941496e+11
1.013925407558815e-03 2.522894139498553e+11
1.020960662306047e-03 2.522842307087517e+11
1.028044732093310e-03 2.522789753833702e+11
1.035177955630176e-03 2.522736469725544e+11
1.042360673976401e-03 2.522682444612812e+11
1.049593230558228e-03 2.522627668204626e+11
1.056875971184804e-03 2.522572130067781e+11
1.064209244064725e-03 2.522515819624333e+11
1.071593399822671e-03 2.522458726150100e+11
1.079028791516184e-03 2.522400838772288e+11
1.086515774652538e-03 2.522342146467589e+11
1.094054707205742e-03 2.522282638060068e+11
1.101645949633657e-03 2.522222302219140e+11
1.109289864895223e-03 2.522161127457357e+11
1.116986818467823e-03 2.522099102128296e+11
1.124737178364752e-03 2.522036214424309e+11
1.132541315152812e-03 2.521972452374476e+11
1.140399601970033e-03 2.521907803842057e+11
1.148312414543511e-03 2.521842256522595e+11
1.156280131207375e-03 2.521775797941178e+11
1.164303132920877e-03 2.521708415450605e+11
1.172381803286599e-03 2.521640096228582e+11
1.180516528568806e-03 2.521570827275409e+11
1.188707697711903e-03 2.521500595411739e+11
1.196955702359043e-03 2.521429387276029e+11
1.205260936870843e-03 2.521357189321832e+11
1.213623798344241e-03 2.521283987815553e+11
1.222044686631489e-03 2.521209768833671e+11
1.230524004359262e-03 2.521134518260309e+11
1.239062156947916e-03 2.521058221784396e+11
1.247659552630870e-03 2.520980864897148e+11
1.256316602474120e-03 2.520902432889284e+11
1.265033720395904e-03 2.520822910848386e+11
1.273811323186479e-03 2.520742283655840e+11
1.282649830528060e-03 2.520660535984402e+11
1.291549665014884e-03 2.520577652295013e+11
1.300511252173409e-03 2.520493616834002e+11
1.309535020482668e-03 2.520408413630293e+11
1.318621401394748e-03 2.520322026492194e+11
1.327770829355429e-03 2.520234439004529e+11
1.336983741824947e-03 2.520145634525518e+11
1.346260579298910e-03 2.520055596183727e+11
1.355601785329369e-03 2.519964306874867e+11
1.365007806546014e-03 2.519871749258680e+11
1.374479092677537e-03 2.519777905755627e+11
1.384016096573132e-03 2.519682758543721e+11
1.393619274224142e-03 2.519586289555119e+11
1.403289084785873e-03 2.519488480472831e+11
1.413025990599534e-03 2.519389312727297e+11
1.422830457214352e-03 2.519288767492919e+11
1.432702953409831e-03 2.519186825684586e+11
1.442643951218157e-03 2.519083467954188e+11
1.452653925946781e-03 2.518978674686929e+11
1.462733356201130e-03 2.518872425997714e+11
1.472882723907502e-03 2.518764701727546e+11
1.483102514336104e-03 2.518655481439706e+11
1.493393216124252e-03 2.518544744416016e+11
1.503755321299738e-03 2.518432469652993e+11
1.514189325304352e-03 2.518318635857932e+11
1.524695727017575e-03 2.518203221445068e+11
1.535275028780423e-03 2.518086204531477e+11
1.545927736419477e-03 2.517967562933121e+11
1.556654359271062e-03 2.517847274160648e+11
1.567455410205595e-03 2.517725315415428e+11
1.578331405652118e-03 2.517601663585103e+11
1.589282865622978e-03 2.517476295239594e+11
1.600310313738700e-03 2.517349186626575e+11
1.611414277253020e-03 2.517220313667178e+11
1.622595287078087e-03 2.517089651951608e+11
1.633853877809862e-03 2.516957176734579e+11
1.645190587753663e-03 2.516822862930846e+11
1.656605958949913e-03 2.516686685110520e+11
1.668100537200059e-03 2.516548617494453e+11
1.679674872092653e-03 2.516408633949481e+11
1.691329517029649e-03 2.516266707983651e+11
1.703065029252844e-03 2.516122812741368e+11
1.714881969870539e-03 2.515976920998470e+11
1.726780903884356e-03 2.515829005157224e+11
1.738762400216250e-03 2.515679037241376e+11
1.750827031735725e-03 2.515526988890899e+11
1.762975375287206e-03 2.515372831356920e+11
1.775208011717634e-03 2.515216535496413e+11
1.787525525904235e-03 2.515058071766902e+11
1.799928506782477e-03 2.514897410221138e+11
1.812417547374238e-03 2.514734520501517e+11
1.824993244816152e-03 2.514569371834666e+11
1.837656200388170e-03 2.514401933025822e+11
1.850407019542302e-03 2.514232172453127e+11
1.863246311931560e-03 2.514060058061891e+11
1.876174691439121e-03 2.513885557358817e+11
1.889192776207666e-03 2.513708637406094e+11
1.902301188668944e-03 2.513529264815399e+11
1.915500555573528e-03 2.513347405741848e+11
1.928791508020778e-03 2.513163025877960e+11
1.942174681489027e-03 2.512976090447341e+11
1.955650715865949e-03 2.512786564198454e+11
1.969220255479171e-03 2.512594411398309e+11
1.982883949127072e-03 2.512399595825901e+11
1.996642450109793e-03 2.512202080765793e+11
2.010496416260499e-03 2.512001829001475e+11
2.024446509976804e-03 2.511798802808629e+11
2.038493398252464e-03 2.511592963948404e+11
2.052637752709252e-03 2.511384273660526e+11
2.066880249629082e-03 2.511172692656356e+11
2.081221569986339e-03 2.510958181111847e+11
2.095662399480433e-03 2.510740698660382e+11
2.110203428568597e-03 2.510520204385638e+11
2.124845352498883e-03 2.510296656814173e+11
2.139588871343421e-03 2.510070013908090e+11
2.154434690031884e-03 2.509840233057532e+11
2.169383518385184e-03 2.509607271073075e+11
2.184436071149428e-03 2.509371084178037e+11
2.199593068030075e-03 2.509131628000725e+11
2.214855233726359e-03 2.508888857566542e+11
2.230223297965939e-03 2.508642727289973e+11
2.245697995539774e-03 2.508393190966588e+11
2.261280066337279e-03 2.508140201764762e+11
2.276970255381680e-03 2.507883712217503e+11
2.292769312865649e-03 2.507623674213993e+11
2.308677994187170e-03 2.507360038991107e+11
2.324697059985648e-03 2.507092757124861e+11
2.340827276178294e-03 2.506821778521696e+11
2.357069413996728e-03 2.506547052409656e+11
2.373424250023866e-03 2.506268527329528e+11
2.389892566231050e-03 2.505986151125721e+11
2.406475150015424e-03 2.505699870937281e+11
2.423172794237601e-03 2.505409633188484e+11
2.439986297259550e-03 2.505115383579611e+11
2.456916462982790e-03 2.504817067077423e+11
2.473964100886814e-03 2.504514627905568e+11
2.491130026067788e-03 2.504208009534892e+11
