<X> <Y>
1.000000000000000e-03 7.184527131195683e+10
1.006938631476027e-03 7.184495114603374e+10
1.013925407558815e-03 7.184462652289102e+10
1.020960662306047e-03 7.184429738054323e+10
1.028044732093310e-03 7.184396365610159e+10
1.035177955630176e-03 7.184362528573895e+10
1.042360673976401e-03 7.184328220482394e+10
1.049593230558228e-03 7.184293434782948e+10
1.056875971184804e-03 7.184258164821982e+10
1.064209244064725e-03 7.184222403863924e+10
1.071593399822671e-03 7.184186145080728e+10
1.079028791516184e-03 7.184149381533965e+10
1.086515774652538e-03 7.184112106206229e+10
1.094054707205742e-03 7.184074311977501e+10
1.101645949633657e-03 7.184035991619264e+10
1.109289864895223e-03 7.183997137810333e+10
1.116986818467823e-03 7.183957743134920e+10
1.124737178364752e-03 7.183917800060608e+10
1.132541315152812e-03 7.183877300954288e+10
1.140399601970033e-03 7.183836238086040e+10
1.148312414543511e-03 7.183794603598840e+10
1.156280131207375e-03 7.183752389555635e+10
1.164303132920877e-03 7.183709587875081e+10
1.172381803286599e-03 7.183666190387051e+10
1.180516528568806e-03 7.183622188801338e+10
1.188707697711903e-03 7.183577574711276e+10
1.196955702359043e-03 7.183532339596330e+10
1.205260936870843e-03 7.183486474810867e+10
1.213623798344241e-03 7.183439971596063e+10
1.222044686631489e-03 7.183392821069206e+10
1.230524004359262e-03 7.183345014222516e+10
1.239062156947916e-03 7.183296541924422e+10
1.247659552630870e-03 7.183247394916412e+10
1.256316602474120e-03 7.183197563812129e+10
1.265033720395904e-03 7.183147039089827e+10
1.273811323186479e-03 7.183095811101253e+10
1.282649830528060e-03 7.183043870062813e+10
1.291549665014884e-03 7.182991206051514e+10
1.300511252173409e-03 7.182937809010707e+10
1.309535020482668e-03 7.182883668741742e+10
1.318621401394748e-03 7.182828774907533e+10
1.327770829355429e-03 7.182773117017213e+10
1.336983741824947e-03 7.182716684448209e+10
1.346260579298910e-03 7.182659466418549e+10
1.355601785329369e-03 7.182601452004890e+10
1.365007806546014e-03 7.182542630125845e+10
1.374479092677537e-03 7.182482989551311e+10
1.384016096573132e-03 7.182422518890701e+10
1.393619274224142e-03 7.182361206593974e+10
1.403289084785873e-03 7.182299040960341e+10
1.413025990599534e-03 7.182236010114238e+10
1.422830457214352e-03 7.182172102022668e+10
1.432702953409831e-03 7.182107304479669e+10
1.442643951218157e-03 7.182041605119572e+10
1.452653925946781e-03 7.181974991391599e+10
1.462733356201130e-03 7.181907450584953e+10
1.472882723907502e-03 7.181838969798270e+10
1.483102514336104e-03 7.181769535962036e+10
1.493393216124252e-03 7.181699135817134e+10
1.503755321299738e-03 7.181627755926787e+10
1.514189325304352e-03 7.181555382661485e+10
1.524695727017575e-03 7.181482002207364e+10
1.535275028780423e-03 7.181407600558916e+10
1.545927736419477e-03 7.181332163511707e+10
1.556654359271062e-03 7.181255676664085e+10
1.567455410205595e-03 7.181178125420277e+10
1.578331405652118e-03 7.181099494973468e+10
1.589282865622978e-03 7.181019770324503e+10
1.600310313738700e-03 7.180938936248650e+10
1.611414277253020e-03 7.180856977321060e+10
1.622595287078087e-03 7.180773877901625e+10
1.633853877809862e-03 7.180689622132326e+10
1.645190587753663e-03 7.180604193928653e+10
1.656605958949913e-03 7.180517576992607e+10
1.668100537200059e-03 7.180429754796930e+10
1.679674872092653e-03 7.180340710581981e+10
1.691329517029649e-03 7.180250427354535e+10
1.703065029252844e-03 7.180158887888538e+10
1.714881969870539e-03 7.180066074719354e+10
1.726780903884356e-03 7.179971970140662e+10
1.738762400216250e-03 7.179876556197575e+10
1.750827031735725e-03 7.179779814683900e+10
1.762975375287206e-03 7.179681727146310e+10
1.775208011717634e-03 7.179582274873009e+10
1.787525525904235e-03 7.179481438892567e+10
1.799928506782477e-03 7.179379199967509e+10
1.812417547374238e-03 7.179275538600529e+10
1.824993244816152e-03 7.179170435013759e+10
1.837656200388170e-03 7.179063869163582e+10
1.850407019542302e-03 7.178955820726781e+10
1.863246311931560e-03 7.178846269093495e+10
1.876174691439121e-03 7.178735193372191e+10
1.889192776207666e-03 7.178622572378926e+10
1.902301188668944e-03 7.178508384640207e+10
1.915500555573528e-03 7.178392608379221e+10
1.928791508020778e-03 7.178275221520090e+10
1.942174681489027e-03 7.178156201682048e+10
1.955650715865949e-03 7.178035526170407e+10
1.969220255479171e-03 7.177913171979842e+10
1.982883949127072e-03 7.177789115780539e+10
1.996642450109793e-03 7.177663333926344e+10
2.010496416260499e-03 7.177535802435432e+10
2.024446509976804e-03 7.177406497000272e+10
2.038493398252464e-03 7.177275392974303e+10
2.052637752709252e-03 7.177142465366025e+10
2.066880249629082e-03 7.177007688839749e+10
2.081221569986339e-03 7.176871037711002e+10
2.095662399480433e-03 7.176732485937579e+10
2.110203428568597e-03 7.176592007112758e+10
2.124845352498883e-03 7.176449574471080e+10
2.139588871343421e-03 7.176305160871538e+10
2.154434690031884e-03 7.176158738794261e+10
2.169383518385184e-03 7.176010280345880e+10
2.184436071149428e-03 7.175859757239893e+10
2.199593068030075e-03 7.175707140801596e+10
2.214855233726359e-03 7.175552401958562e+10
2.230223297965939e-03 7.175395511233636e+10
2.245697995539774e-03 7.175236438742085e+10
2.261280066337279e-03 7.175075154189001e+10
2.276970255381680e-03 7.174911626854483e+10
2.292769312865649e-03 7.174745825596593e+10
2.308677994187170e-03 7.174577718841043e+10
2.324697059985648e-03 7.174407274578343e+10
2.340827276178294e-03 7.174234460352245e+10
2.357069413996728e-03 7.174059243259956e+10
2.373424250023866e-03 7.173881589944461e+10
2.389892566231050e-03 7.173701466583873e+10
2.406475150015424e-03 7.173518838888914e+10
2.423172794237601e-03 7.173333672097249e+10
2.439986297259550e-03 7.173145930966029e+10
2.456916462982790e-03 7.172955579761729e+10
2.473964100886814e-03 7.172762582260605e+10
2.491130026067788e-03 7.172566901735339e+10
2.508415059277541e-03 7.172368500949487e+10
2.525820026962785e-03 7.172167342154037e+10
2.543345761304648e-03 7.171963387078453e+10
2.560993100258459e-03 7.171756596919588e+10
2.578762887593801e-03 7.171546932341917e+10
2.596655972934872e-03 7.171334353463676e+10
2.614673211801092e-03 7.171118819851288e+10
2.632815465648020e-03 7.170900290514520e+10
2.651083601908539e-03 7.170678723894341e+10
2.669478494034321e-03 7.170454077860799e+10
2.688001021537607e-03 7.170226309697356e+10
2.706652070033241e-03 7.169995376101007e+10
2.725432531281028e-03 7.169761233168872e+10
2.744343303228365e-03 7.169523836392284e+10
2.763385290053170e-03 7.169283140646529e+10
2.782559402207126e-03 7.169039100185806e+10
2.801866556459195e-03 7.168791668631686e+10
2.821307675939471e-03 7.168540798965904e+10
2.840883690183304e-03 7.168286443519528e+10
2.860595535175742e-03 7.168028553967648e+10
2.880444153396298e-03 7.167767081317297e+10
2.900430493863992e-03 7.167501975900330e+10
2.920555512182745e-03 7.167233187362158e+10
2.940820170587064e-03 7.166960664655220e+10
2.961225437988034e-03 7.166684356025870e+10
2.981772290019673e-03 7.166404209008226e+10
3.002461709085549e-03 7.166120170411812e+10
3.023294684405777e-03 7.165832186313800e+10
3.044272212064303e-03 7.165540202047159e+10
3.065395295056527e-03 7.165244162191165e+10
3.086664943337274e-03 7.164944010562790e+10
3.108082173869064e-03 7.164639690203174e+10
3.129648010670750e-03 7.164331143368764e+10
3.151363484866479e-03 7.164018311521571e+10
3.173229634734976e-03 7.163701135316275e+10
3.195247505759214e-03 7.163379554591586e+10
3.217418150676372e-03 7.163053508356294e+10
3.239742629528196e-03 7.162722934780467e+10
