<X> <Y>
5.237261180003165e-04 2.874239195200798e+11
5.485780933513635e-04 2.874191452446111e+11
5.746093505018498e-04 2.874139072035869e+11
6.018758490100341e-04 2.874081603566830e+11
6.304362038403404e-04 2.874018552907729e+11
6.603518113683154e-04 2.873949377967218e+11
6.916869813648103e-04 2.873873484031419e+11
7.245090752430989e-04 2.873790218674806e+11
7.588886508661356e-04 2.873698866152703e+11
7.948996142252376e-04 2.873598641271591e+11
8.326193783162658e-04 2.873488682661059e+11
8.721290295548306e-04 2.873368045390498e+11
9.135135020882696e-04 2.873235692879138e+11
9.568617603791271e-04 2.873090488018881e+11
1.002266990452620e-03 2.872931183454851e+11
1.049826800219222e-03 2.872756410910828e+11
1.099643429303014e-03 2.872564669501369e+11
1.151823968826847e-03 2.872354312910885e+11
1.206480591626805e-03 2.872123535346097e+11
1.263730793390863e-03 2.871870356137640e+11
1.323697645240115e-03 2.871592602865812e+11
1.386510058295532e-03 2.871287892866224e+11
1.452303060799023e-03 2.870953612976575e+11
1.521218088384502e-03 2.870586897336958e+11
1.593403288122955e-03 2.870184603087346e+11
1.669013836995150e-03 2.869743283742310e+11
1.748212275476568e-03 2.869259160045165e+11
1.831168856951686e-03 2.868728088057676e+11
1.918061913708767e-03 2.868145524238432e+11
2.009078240301904e-03 2.867506487228272e+11
2.104413495104446e-03 2.866805516050458e+11
2.204272620917060e-03 2.866036624395413e+11
2.308870285534551e-03 2.865193250646459e+11
2.418431343218585e-03 2.864268203263492e+11
2.533191318068324e-03 2.863253601122173e+11
2.653396910328057e-03 2.862140808366215e+11
2.779306526720295e-03 2.860920363307039e+11
2.911190835944330e-03 2.859581900864301e+11
3.049333350534440e-03 2.858114068014227e+11
3.194031036328602e-03 2.856504431672014e+11
3.345594950857817e-03 2.854739378406840e+11
3.504350912028449e-03 2.852804005351603e+11
3.670640198535057e-03 2.850682001640205e+11
3.844820283509358e-03 2.848355519678850e+11
4.027265602982465e-03 2.845805035533065e+11
4.218368360812421e-03 2.843009197697676e+11
4.418539371807301e-03 2.839944663509805e+11
4.628208944856390e-03 2.836585922467589e+11
4.847827807967957e-03 2.832905105738445e+11
5.077868077202089e-03 2.828871781179396e+11
5.318824271581564e-03 2.824452733254474e+11
5.571214376162549e-03 2.819611727327657e+11
5.835580955550340e-03 2.814309257942339e+11
6.112492320253915e-03 2.808502280875203e+11
6.402543748386662e-03 2.802143928986845e+11
6.706358765339491e-03 2.795183212195914e+11
7.024590484177295e-03 2.787564702289368e+11
7.357923009640278e-03 2.779228203768955e+11
7.707072908768225e-03 2.770108412539482e+11
8.072790751309181e-03 2.760134564992588e+11
8.455862723224032e-03 2.749230080954142e+11
8.857112316755426e-03 2.737312205073623e+11
9.277402100694209e-03 2.724291652572713e+11
9.717635574649131e-03 2.710072266871302e+11
1.017875911130553e-02 2.694550698512588e+11
1.066176399084880e-02 2.677616117054421e+11
1.116768853192561e-02 2.659149970222171e+11
1.169762032372411e-02 2.639025807672402e+11
1.225269856397128e-02 2.617109190230650e+11
1.283411650787347e-02 2.593257709472822e+11
1.344312403326470e-02 2.567321147033667e+11
1.408103032747697e-02 2.539141808045226e+11
1.474920670170849e-02 2.508555068600161e+11
1.544908953894008e-02 2.475390183025001e+11
1.618218338173679e-02 2.439471402904931e+11
1.695006416657249e-02 2.400619466014633e+11
1.775438261163056e-02 2.358653519269097e+11
1.859686776536321e-02 2.313393545073621e+11
1.947933072343779e-02 2.264663364421670e+11
2.040366852206076e-02 2.212294291962465e+11
2.137186821604828e-02 2.156129517001457e+11
2.238601115041064e-02 2.096029278699659e+11
2.344827743463274e-02 2.031876891996678e+11
2.456095062926925e-02 1.963585661080678e+11
2.572642265492925e-02 1.891106687355802e+11
2.694719893420300e-02 1.814437536368570e+11
