<X> <Y>
1.000000000000000e-03 7.180218002553360e+10
1.006938631476027e-03 7.180126011800012e+10
1.013925407558815e-03 7.180032741066040e+10
1.020960662306047e-03 7.179938172555621e+10
1.028044732093310e-03 7.179842288226749e+10
1.035177955630176e-03 7.179745069786502e+10
1.042360673976401e-03 7.179646498688130e+10
1.049593230558228e-03 7.179546556127122e+10
1.056875971184804e-03 7.179445223039073e+10
1.064209244064725e-03 7.179342480093607e+10
1.071593399822671e-03 7.179238307693433e+10
1.079028791516184e-03 7.179132685968622e+10
1.086515774652538e-03 7.179025594773680e+10
1.094054707205742e-03 7.178917013683490e+10
1.101645949633657e-03 7.178806921989856e+10
1.109289864895223e-03 7.178695298697130e+10
1.116986818467823e-03 7.178582122518513e+10
1.124737178364752e-03 7.178467371871666e+10
1.132541315152812e-03 7.178351024875537e+10
1.140399601970033e-03 7.178233059344618e+10
1.148312414543511e-03 7.178113452786809e+10
1.156280131207375e-03 7.177992182396800e+10
1.164303132920877e-03 7.177869225054552e+10
1.172381803286599e-03 7.177744557318539e+10
1.180516528568806e-03 7.177618155421844e+10
1.188707697711903e-03 7.177489995268706e+10
1.196955702359043e-03 7.177360052429515e+10
1.205260936870843e-03 7.177228302135132e+10
1.213623798344241e-03 7.177094719273759e+10
1.222044686631489e-03 7.176959278385069e+10
1.230524004359262e-03 7.176821953656386e+10
1.239062156947916e-03 7.176682718916699e+10
1.247659552630870e-03 7.176541547632619e+10
1.256316602474120e-03 7.176398412902937e+10
1.265033720395904e-03 7.176253287454169e+10
1.273811323186479e-03 7.176106143633948e+10
1.282649830528060e-03 7.175956953407855e+10
1.291549665014884e-03 7.175805688352461e+10
1.300511252173409e-03 7.175652319650490e+10
1.309535020482668e-03 7.175496818086150e+10
1.318621401394748e-03 7.175339154038416e+10
1.327770829355429e-03 7.175179297476268e+10
1.336983741824947e-03 7.175017217952663e+10
1.346260579298910e-03 7.174852884599120e+10
1.355601785329369e-03 7.174686266119543e+10
1.365007806546014e-03 7.174517330784758e+10
1.374479092677537e-03 7.174346046426051e+10
1.384016096573132e-03 7.174172380429675e+10
1.393619274224142e-03 7.173996299730231e+10
1.403289084785873e-03 7.173817770804784e+10
1.413025990599534e-03 7.173636759666473e+10
1.422830457214352e-03 7.173453231858005e+10
1.432702953409831e-03 7.173267152445297e+10
1.442643951218157e-03 7.173078486011208e+10
1.452653925946781e-03 7.172887196648381e+10
1.462733356201130e-03 7.172693247952563e+10
1.472882723907502e-03 7.172496603016292e+10
1.483102514336104e-03 7.172297224421472e+10
1.493393216124252e-03 7.172095074232593e+10
1.503755321299738e-03 7.171890113989574e+10
1.514189325304352e-03 7.171682304700368e+10
1.524695727017575e-03 7.171471606834192e+10
1.535275028780423e-03 7.171257980313542e+10
1.545927736419477e-03 7.171041384507103e+10
1.556654359271062e-03 7.170821778221643e+10
1.567455410205595e-03 7.170599119695245e+10
1.578331405652118e-03 7.170373366588210e+10
1.589282865622978e-03 7.170144475976547e+10
1.600310313738700e-03 7.169912404342831e+10
1.611414277253020e-03 7.169677107568498e+10
1.622595287078087e-03 7.169438540925813e+10
1.633853877809862e-03 7.169196659069154e+10
1.645190587753663e-03 7.168951416026944e+10
1.656605958949913e-03 7.168702765192699e+10
1.668100537200059e-03 7.168450659316560e+10
1.679674872092653e-03 7.168195050496393e+10
1.691329517029649e-03 7.167935890168925e+10
1.703065029252844e-03 7.167673129100719e+10
1.714881969870539e-03 7.167406717378963e+10
1.726780903884356e-03 7.167136604402058e+10
1.738762400216250e-03 7.166862738870738e+10
1.750827031735725e-03 7.166585068777769e+10
1.762975375287206e-03 7.166303541398859e+10
1.775208011717634e-03 7.166018103282539e+10
1.787525525904235e-03 7.165728700240340e+10
1.799928506782477e-03 7.165435277337071e+10
1.812417547374238e-03 7.165137778879915e+10
1.824993244816152e-03 7.164836148408716e+10
1.837656200388170e-03 7.164530328685400e+10
1.850407019542302e-03 7.164220261683142e+10
1.863246311931560e-03 7.163905888575659e+10
1.876174691439121e-03 7.163587149726598e+10
1.889192776207666e-03 7.163263984678320e+10
