Goal,Sample,Name,Matrix,EG_group,EG_block,Florinated,Flor_block,GP_conc_tar,GP_conc_act,CP,CP_conc_tar,CP_conc_act,Solvent,Tot_conc_tar,Tot_conc_act,Highq_trim,lowq_trim,Filename,,Highq_trim,lowq_trim
Control,933,DEG50F25b_10_dTol,DEG50F25b,DEG,50,F,25b,10,12.54,none,0,0,dTol,10,12.54,100,24,D50F25b_10dTol.sub,,110,35
Sample,966,DEG50F25_1_dTHF50,DEG50F25,DEG,50,F,25,1,0.51,none,0,0,dTHF50,1,0,115,5,D50F25_1dTHF50.sub,,125,5
Control,900,DEG50F25_10_dCF,DEG50F25,DEG,50,F,25,10,11.84,none,0,0,dCF,10,11.84,100,10,D50F25_10dCF.sub,,130,20
Control,903,DEG50F25_10_dTHF,DEG50F25,DEG,50,F,25,10,11.41,none,0,0,dTHF,10,11.41,100,15,D50F25_10dTHF.sub,,100,20
Sample,125,DEG50F25_10_dTHF75,DEG50F25,DEG,50,F,25,10,8.68,none,0,0,dTHF75,,,100,5,D50F25_10dTHF75.sub,,100,8
Control,930,DEG50F25_10_dTol,DEG50F25,DEG,50,F,25,10,11.13,none,0,0,dTol,10,11.13,100,24,D50F25_10dTol.sub,,110,25
Sample,960,DEG50F25_5_dTHF50,DEG50F25,DEG,50,F,25,5,5.16,none,0,0,dTHF50,5,0,100,5,D50F25_5dTHF50.sub,,120,5
Sample,969,DEG50F25b_1_dTHF50,DEG50F25b,DEG,50,F,25b,1,0.89,none,0,0,dTHF50,1,0,115,5,D50F25b_1dTHF50.sub,,125,5
Control,952,DEG50F25b_10_dCF,DEG50F25b,DEG,50,F,25b,10,10.8,none,0,0,dCF,10,10.8,100,30,D50F25b_10dCF.sub,,130,30
Sample,133,DEG50F25b_10_dTHF,DEG50F25b,DEG,50,F,25b,10,,none,0,0,dTHF,,,100,25,D50F25b_10dTHF.sub,,100,20
Sample,132,DEG50F25b_10_dTHF75,DEG50F25b,DEG,50,F,25b,10,9.21,none,0,0,dTHF75,,,100,5,D50F25b_10dTHF75.sub,,100,8
Sample,963,DEG50F25b_5_dTHF50,DEG50F25b,DEG,50,F,25b,5,4.95,none,0,0,dTHF50,5,0,100,5,D50F25b_5dTHF50.sub,,120,5
Sample,990,DEG50F50_5_dTHF,DEG50F50,DEG,50,F,50,5,,none,0,0,dTHF,5,0,100,5,D50F50_5dTHF.sub,,85,20
Sample,967,DEG50F50_1_dTHF50,DEG50F50,DEG,50,F,50,1,0.65,none,0,0,dTHF50,1,0,115,5,D50F50_1dTHF50_flare.sub,,125,5
Control,901,DEG50F50_10_dCF,DEG50F50,DEG,50,F,50,10,11.74,none,0,0,dCF,10,11.74,100,5,D50F50_10dCF.sub,,130,15
Control,904,DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,11.69,none,0,0,dTHF,10,11.69,100,15,D50F50_10dTHF.sub,,70,10
Sample,127,DEG50F50_10_dTHF75,DEG50F50,DEG,50,F,50,10,8.31,none,0,0,dTHF75,,,100,5,D50F50_10dTHF75.sub,,100,8
